"OBS_DATE,TRUCK_D11,TSI_Freight,TSI_Total,IND_PRO,MANUF,INV_TO_SALES"
"05/01/2019,116.9,138.0,136.8,110.73408007,138.71758995,1.47"
"06/01/2019,117.6,137.2,136.3,110.86912216,137.54540263,1.47"
"07/01/2019,119.0,139.4,137.6,110.2887331,136.34123358,1.46"
"08/01/2019,120.5,141.4,139.4,111.12742124,135.75014278,1.45"
"09/01/2019,117.6,137.8,136.7,110.78003114,134.75728155,1.46"
"10/01/2019,118.0,137.7,136.8,109.83689893,133.36179326,1.46"
"11/01/2019,117.4,137.3,136.9,110.44410178,132.67961165,1.44"
"12/01/2019,116.4,136.0,136.6,110.21996868,132.43974872,1.43"
"01/01/2020,116.1,135.9,136.5,109.56594979,130.75071388,1.44"
"02/01/2020,116.4,135.8,136.0,109.92771987,130.49114792,1.43"
"03/01/2020,116.7,134.4,110.0,105.53177012,122.98686465,1.53"
"04/01/2020,106.5,124.3,81.7,91.557454787,105.31753284,1.68"
"05/01/2020,109.5,126.0,84.2,92.995020526,107.67133067,1.34"
"06/01/2020,111.4,129.1,88.2,99.11862242,119.12964021,1.22"
"07/01/2020,114.1,133.2,92.6,102.71815902,124.71016562,1.21"
"08/01/2020,112.0,131.6,95.4,103.7190274,125.73443746,1.22"
"09/01/2020,111.1,131.9,98.5,103.67794174,126.72615648,1.22"
"10/01/2020,111.3,132.6,98.5,104.36363984,128.10651057,1.25"
"11/01/2020,112.4,132.9,101.8,104.82563731,129.55539692,1.26"
"12/01/2020,113.2,134.5,103.0,106.1782206,133.16676185,1.26"
"01/01/2021,114.2,136.4,105.5,106.83732114,136.90376927,1.22"
"02/01/2021,112.3,132.7,104.9,103.26254406,135.72929754,1.26"
"03/01/2021,113.4,135.2,105.3,106.16632738,137.62878355,1.12"
"04/01/2021,113.8,136.9,108.2,106.31639817,139.59651628,1.1"
"05/01/2021,113.0,135.8,110.6,107.2408256,141.04568818,1.11"
"06/01/2021,111.4,134.8,112.5,107.73990829,143.66476299,1.1"
"07/01/2021,111.3,133.9,113.9,108.19239119,146.74900057,1.14"
"08/01/2021,110.8,132.8,113.3,108.16471243,146.75613935,1.13"
"09/01/2021,112.6,133.8,114.3,107.03409984,148.33752142,1.13"
"10/01/2021,113.4,135.4,116.2,108.50312855,151.60993718,1.12"
"11/01/2021,114.2,136.3,119.4,109.49156311,153.49714449,1.13"
"12/01/2021,114.9,136.6,119.9,109.41198667,155.11107938,1.19"
"01/01/2022,115.0,137.6,117.7,109.43339446,157.31410623,1.19"
"02/01/2022,115.6,138.7,121.8,110.11584896,158.85208452,1.2"
"03/01/2022,117.3,139.8,122.8,111.01043522,163.29668761,1.21"
"04/01/2022,117.1,139.0,123.3,111.25824664,164.47944032,1.2"
"05/01/2022,116.7,138.7,123.2,111.32690295,166.69474586,1.22"
"06/01/2022,117.9,139.1,123.8,111.17175051,168.72358652,1.23"
"07/01/2022,116.8,138.2,123.1,111.41837261,166.07024557,1.26"
"08/01/2022,117.8,139.1,124.7,111.54790057,165.86836094,1.26"
"09/01/2022,119.0,139.5,126.1,111.93961993,166.10194175,1.26"
"10/01/2022,117.8,138.0,125.4,111.84404171,167.78298115,1.25"
"11/01/2022,115.2,135.4,124.2,111.47816306,166.39577384,1.26"
"12/01/2022,116.1,135.7,124.8,110.09508989,164.64334666,1.28"
"01/01/2023,116.3,137.4,126.7,111.09087662,167.02255854,1.24"
"02/01/2023,117.5,140.2,129.1,111.14785595,165.10079954,1.25"
"03/01/2023,114.5,138.1,127.3,111.16299277,164.18475157,1.28"
"04/01/2023,113.8,137.3,127.2,111.60606922,163.70159909,1.27"
"05/01/2023,113.6,137.1,127.5,111.34312097,163.66504854,1.27"
"06/01/2023,114.1,137.6,127.6,110.69439997,163.74671616,1.27"
"07/01/2023,115.5,138.9,128.9,111.44183468,164.72330097,1.27"
"08/01/2023,114.6,138.3,129.1,111.4665942,166.87949743,1.27"
"09/01/2023,114.5,138.7,129.8,111.69689016,167.31610508,1.27"
"10/01/2023,114.5,138.5,129.7,110.90761294,164.59708738,1.28"
"11/01/2023,113.5,137.7,129.4,111.24137989,165.41404911,1.28"
"12/01/2023,115.3,138.5,130.8,110.96470039,165.25842376,1.28"
"01/01/2024,111.0,134.3,127.0,109.72358899,164.06139349,1.3"
"02/01/2024,114.7,138.0,129.9,111.06827951,166.15790977,1.29"
"03/01/2024,112.9,137.0,129.9,110.84328144,166.83809252,1.29"
"04/01/2024,112.7,135.4,128.6,110.66834301,168.19788692,1.3"
"05/01/2024,114.8,138.8,130.9,111.44064536,167.0005711,1.31"
"06/01/2024,113.7,138.4,131.5,111.60790726,168.02912621,1.33"
"07/01/2024,114.1,138.9,130.9,110.91647879,169.38749286,1.32"
"08/01/2024,115.3,140.3,132.2,111.29122329,168.24100514,1.33"
"09/01/2024,113.7,139.2,,110.97648549,167.60108509,"
